Mustang Sally	Wilson Pickett	Soul	1966	1960s	Remove

My Girl	The Temptations	Soul	1964	1960s	Remove

Never Gonna Give You Up	Rick Astley	Pop	1987	1980s	Remove

No Diggity	Blackstreet	R&B	1996	1990s	Remove

No Scrubs	TLC	R&B	1999	1990s	Remove

Old time Rock and Roll	Bob Seger	Rock and Roll	1979	1970s	Remove

Paradise By the Dashboard Light	Meat Loaf	Rock	1977	1970s	Remove

Party Rock	LMFAO	Dance Pop	2011	2010s	Remove

Piano Man	Billy Joel	Rock	1973	1970s	Remove

Play That Funky Music	Wild Cherry	Funk	1976	1970s	Remove

Pony	Ginuwine	R&B	1996	1990s	Remove

Pour Some Sugar On Me	Def Leppard	Rock	1987	1980s	Remove

Proud Mary	Creedence Clearwater Revival	Rock	1969	1960s	Remove

Push It	Salt-N-Pepa	Hip Hop	1987	1980s	Remove

R-E-S-P-E-C-T	Aretha Franklin	Soul	1967	1960s	Remove

Redneck Woman	Gretchen Wilson	Country	2004	2000s	Remove

Ring of Fire	Johnny Cash	Country	1963	1960s	Remove

Rocket Man	Elton John	Rock	1972	1970s	Remove

Rolling in the Deep	Adele	Pop	2010	2010s	Remove

Save a Horse (Ride a Cowboy)	Big & Rich	Country	2004	2000s	Remove

September	Earth, Wind & Fire	Funk	1978	1970s	Remove

Sexy Back	Justin Timberlake	Pop	2006	2000s	Remove

Shake It Off	Taylor Swift	Pop	2014	2010s	Remove

Shoop	Salt-N-Pepa	Hip Hop	1993	1990s	Remove

Shout	The Isley Brothers	R&B	1959	1950s	Remove

Shut Up and Dance	Walk the Moon	Pop Rock	2014	2010s	Remove

Signed Sealed Delivered	Stevie Wonder	Soul	1970	1970s	Remove

Single Ladies	Beyonce	Pop	2008	2000s	Remove

Stand by Me	Ben E. King	Soul	1961	1960s	Remove

Sugar We're Going Down	Fall Out Boy	Pop Punk	2005	2000s	Remove

Superstition	Stevie Wonder	Funk	1972	1970s	Remove

Sweet Caroline	Neil Diamond	Pop	1969	1960s	Remove

Sweet Child O' Mine	Guns N' Roses	Rock	1988	1980s	Remove

Sweet Home Alabama	Lynyrd Skynyrd	Southern Rock	1974	1970s	Remove

Take Me Home, Country Roads	John Denver	Country	1971	1970s	Remove

Take On Me	A-ha	Pop	1985	1980s	Remove

Tennessee Whiskey	Chris Stapleton	Country	2015	2010s	Remove

The Edge of Glory	Lady Gaga	Pop	2011	2010s	Remove

The Joker	Steve Miller Band	Rock	1973	1970s	Remove

This is How We Do It	Montell Jordan	R&B	1995	1990s	Remove

Tiny Dancer	Elton John	Rock	1971	1970s	Remove

Total Eclipse of the Heart	Bonnie Tyler	Pop Rock	1983	1980s	Remove

Tubthumpin	Chumbawamba	Alternative Rock	1997	1990s	Remove

Twist and Shout	The Beatles	Rock and Roll	1963	1960s	Remove

Unwritten	Natasha Bedingfield	Pop	2004	2000s	Remove

